Title,Artist,Nationality,Gender,Date,Medium,Classification,Department,DateAcquired,Height (cm),Width (cm)
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",Christian de Portzamparc,(French),(Male),1987,Paint and colored pencil on print,Architecture,Architecture & Design,1/17/95,40.6401,29.8451
"Urban projects for Montevideo and São Paulo, Brazil. Aerial perspectives",Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),1929,Ink on paper,Architecture,Architecture & Design,11/18/85,27,16.5
"Spatial City, project, Aerial perspective",Yona Friedman,(French),(Male),1958,Ink on tracing paper,Architecture,Architecture & Design,10/31/00,21.3,27.3
"African Proposals, project, Perspective",Yona Friedman,(French),(Male),1959,Ink and watercolor on tracing paper,Architecture,Architecture & Design,10/31/00,48.3,64.5
"Plans for Algiers and Barcelona and “cité-jardin verticale” (vertical garden city) drawing made during a lecture in Chicago November 27, 1935",Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),1935,Pastel on paper,Architecture,Architecture & Design,3/22/76,101,278.1
"Cartier Foundation for Contemporary Art, Paris, France, Elevation",Jean Nouvel,(French),(Male),1992-93,Screenprint drawings on Plexiglass,Architecture,Architecture & Design,9/25/96,49.8476,90.1702
Parabolic Spotlight with Base (model 33267),Roger Tallon,(French),(Male),1972,Die-cast zinc and synthesized material housing and cast aluminum base,Design,Architecture & Design,9/24/01,64.7701,
Sandows Chair,René Herbst,(French),(Male),1928,Nickel-plated steel tube and elastic rubber cord,Design,Architecture & Design,1/19/00,66,43.2
Vicieuse Coffee Table,Philippe Starck,(French),(Male),1992,Polished die-cast aluminum and maple plywood with malamine formaldehyde laminate,Design,Architecture & Design,1/19/00,73.0251,
Ara Table Lamp,Philippe Starck,(French),(Male),1988,Polished chrome,Design,Architecture & Design,1/19/00,56.2,23.5
Ara Table Lamp,Philippe Starck,(French),(Male),1988,Polished chrome,Design,Architecture & Design,1/19/00,56.1976,23.495
Ara Table Lamp,Philippe Starck,(French),(Male),1988,Polished chrome,Design,Architecture & Design,1/19/00,56.2,23.5
Bubu 1er,Philippe Starck,(French),(Male),1991,Injection-molded polypropylene,Design,Architecture & Design,1/19/00,43.8,
Bubu 1er,Philippe Starck,(French),(Male),1991,Injection-molded polypropylene,Design,Architecture & Design,1/19/00,43.8151,
Bubu 1er,Philippe Starck,(French),(Male),1991,Injection molded polypropylene,Design,Architecture & Design,1/19/00,43.8,
Ceci N'est Pas une Truelle Cake Server,Philippe Starck,(French),(Male),1996,Stainless steel and maple,Design,Architecture & Design,1/19/00,6.985,7.9
Chab Wellington Coat Hook,Philippe Starck,(French),(Male),1987,Polished aluminum,Design,Architecture & Design,1/19/00,12.7,5.08
Coo Coo Radio Alarm-clock,Philippe Starck,(French),(Male),1996,ABS plastic,Design,Architecture & Design,1/19/00,22.2,9.8
Dadada Stool,Philippe Starck,(French),(Male),1993,Injection-molded polypropylene,Design,Architecture & Design,1/19/00,50.8,32.4
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. Kiss Toothbrush,Philippe Starck,(French),(Male),1996,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.6375,3.81
Dr. No Chair,Philippe Starck,(French),(Male),1996,"Solid-dyed polypropylene, aluminum, and epoxy polyester or natural finish",Design,Architecture & Design,1/19/00,47.7,46.2
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8151,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Dr. Scud Fly Swatter,Philippe Starck,(French),(Male),1998,Thermoplastic resin,Design,Architecture & Design,1/19/00,43.8,9.2075
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9101,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9101,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9,
Excalibur Toilet Brush,Philippe Starck,(French),(Male),1993,Polypropylene and nylon,Design,Architecture & Design,1/19/00,41.9101,
Hot Bertaa Kettle,Philippe Starck,(French),(Male),1987,"Cast aluminum, silicone resin and polyamide",Design,Architecture & Design,1/19/00,25.4001,31.7
Hot Bertaa Kettle,Philippe Starck,(French),(Male),1987,Aluminum casting silicone resin and polyamide,Design,Architecture & Design,1/19/00,25.4001,31.7501
Hot Bertaa Kettle,Philippe Starck,(French),(Male),1987,Aluminum casting colored by a silicone resin and polyamide,Design,Architecture & Design,1/19/00,25.4001,31.7
Hot Fredo Thermos,Philippe Starck,(French),(Male),1993,Plastic and glass,Design,Architecture & Design,1/19/00,36.8301,17.1
Hot Fredo Thermos,Philippe Starck,(French),(Male),1993,Plastic and glass,Design,Architecture & Design,1/19/00,36.8301,17.145
Hot Fredo Thermos,Philippe Starck,(French),(Male),1993,Plastic and glass,Design,Architecture & Design,1/19/00,36.8301,17.1
Jim Nature Portable Television,Philippe Starck,(French),(Male),1994,High-density wood and plastic,Design,Architecture & Design,1/19/00,37.1476,40.2167
Joe Cactus Ashtray,Philippe Starck,(French),(Male),1990,Bakelite,Design,Architecture & Design,1/19/00,20.0025,
Joe Cactus Ashtray,Philippe Starck,(French),(Male),1990,Bakelite,Design,Architecture & Design,1/19/00,20,
Joe Cactus Ashtray,Philippe Starck,(French),(Male),1990,Bakelite,Design,Architecture & Design,1/19/00,20.0025,
Joe Cactus Ashtray,Philippe Starck,(French),(Male),1990,Bakelite,Design,Architecture & Design,1/19/00,20,
Juicy Salif Lemon Squeezer,Philippe Starck,(French),(Male),1988,Pressure cast polished aluminum and polyamide,Design,Architecture & Design,1/19/00,29.2101,
Juicy Salif Lemon Squeezer,Philippe Starck,(French),(Male),1988,".1: Aluminum casting and polyamide 
.2: P.T.F.E.-treated aluminum casting, anthracite, and polyamide",Design,Architecture & Design,1/19/00,29.2101,
Juicy Salif Lemon Squeezer,Philippe Starck,(French),(Male),1988,P.T.F.E.-treated pressure cast aluminum and polyamide,Design,Architecture & Design,1/19/00,29.2101,
Laguiole Knife,Philippe Starck,(French),(Male),1986,Stainless steel and polished aluminum,Design,Architecture & Design,1/19/00,1.2,17.8
La Marie Chair,Philippe Starck,(French),(Male),1998,Polycarbonate,Design,Architecture & Design,1/19/00,86.3,38.7351
Lola Mundo Chair,Philippe Starck,(French),(Male),1988,"Cast aluminum legs, ashwood with ebony finish, black colored chromium-plated steel hinges, and colored rubber studs",Design,Architecture & Design,1/19/00,84.4,54
Louis 20 Chair,Philippe Starck,(French),(Male),1991,Blown polypropylene and polished aluminum,Design,Architecture & Design,1/19/00,84.3,47
Luci Fair Wall Sconce,Philippe Starck,(French),(Male),1989,Acid-etched glass,Design,Architecture & Design,1/19/00,24.2,14
Max le Chinois Colander,Philippe Starck,(French),(Male),1987,18/10 Stainless steel and brass,Design,Architecture & Design,1/19/00,29.8,
Mimi Bayou Handle,Philippe Starck,(French),(Male),1987,"Shell mould cast aluminum, polished",Design,Architecture & Design,1/19/00,4.5,7.62
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),1998,Thermoplastic and lacquered aluminum,Design,Architecture & Design,1/19/00,80,41.3
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),1998,Thermoplastic and lacquered aluminum,Design,Architecture & Design,1/19/00,80.0102,41.2751
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),1998,Thermoplastic and lacquered aluminum,Design,Architecture & Design,1/19/00,80,41.3
Miss C.O.C.O. Folding Chair,Philippe Starck,(French),(Male),1998,Thermoplastic and lacquered aluminum,Design,Architecture & Design,1/19/00,80,41.3
Miss Donna Table Mirror,Philippe Starck,(French),(Male),1987,Polished aluminum and glass,Design,Architecture & Design,1/19/00,40,24.2
Miss Sissi Table Lamp,Philippe Starck,(French),(Male),1991,Injection-molded high temperature polycarbonate,Design,Architecture & Design,1/19/00,28.3,
Miss Trip Chair,Philippe Starck,(French),(Male),1996,"Polypropylene, laminated back, and solid beechwood legs",Design,Architecture & Design,1/19/00,87,40
Mister Kleen Toothpick Holder Set,Philippe Starck,(French),(Male),1996,Polyamide with ABS polymer,Design,Architecture & Design,1/19/00,9.2075,
Mister Meumeu Cheese Grater,Philippe Starck,(French),(Male),1992,ABS (Acrylonitrile Butneliene Styrene) plastic polyamide and 18/10 stainless steel,Design,Architecture & Design,1/19/00,14,21
Mister Meumeu Cheese Grater,Philippe Starck,(French),(Male),1992,"ABS plastic, polyamide, and stainless steel",Design,Architecture & Design,1/19/00,13.97,20.955
Mister Meumeu Cheese Grater,Philippe Starck,(French),(Male),1992,"ABS (Acrylonitrile Butneliene Styrene), polyamide, and 18/10 stainless steel",Design,Architecture & Design,1/19/00,14,21
Peninsula Chair,Philippe Starck,(French),(Male),1995,"Mahogany-stained beechwood, cotton upholstery, and aluminum",Design,Architecture & Design,1/19/00,89.5,42.3
Petite Étrangeté Contre un Mur Vase,Philippe Starck,(French),(Male),1988,Glass,Design,Architecture & Design,1/19/00,49.8,28.8926
Petite Étrangeté Sous un Mur Vase,Philippe Starck,(French),(Male),1988,Glass,Design,Architecture & Design,1/19/00,48.8951,28.9
Poe Radio,Philippe Starck,(French),(Male),1996,ABS (acrylonitile-butadiene-styrene),Design,Architecture & Design,1/19/00,25.4001,16.5
Prince Aha Stool,Philippe Starck,(French),(Male),1996,Solid-dyed polypropylene,Design,Architecture & Design,1/19/00,42.5,
Ray Hollis Ashtray,Philippe Starck,(French),(Male),1986,Polished aluminum,Design,Architecture & Design,1/19/00,11.1125,11.7475
Royalton Bar Stool,Philippe Starck,(French),(Male),1998,Cast aluminum and velvet,Design,Architecture & Design,1/19/00,76.8,
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),1989,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20,
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),1989,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20.0025,
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),1989,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20,
Toothbrush and Toothbrush Holder,Philippe Starck,(French),(Male),1989,Thermoplastic resin and ABS polymer,Design,Architecture & Design,1/19/00,20,
Walter Wayle Wall Clock,Philippe Starck,(French),(Male),1989,Thermoplastic resin,Design,Architecture & Design,1/19/00,25.4001,25.4001
W.W. Stool,Philippe Starck,(French),(Male),1990,Sand-cast aluminum,Design,Architecture & Design,1/19/00,97.7902,53.9751
Vase,Emile Gallé,(French),(Male),c. 1900,Glass,Design,Architecture & Design,3/17/48,24.1,
Vase,Hector Guimard,(French),(Male),c. 1898,Bronze,Design,Architecture & Design,3/22/76,26.6701,
Set of Three Decorative Combs,Unidentified Designer,(French),(),c. 1900,"Tortoise shell, copper, mother-of-pearl, and colored glass paste",Design,Architecture & Design,5/15/57,10.2,8.6
Balcony Railing,Hector Guimard,(French),(Male),1905–1907,Cast iron,Architecture,Architecture & Design,5/26/60,102.2352,162.5
Dinnerware,"André Giraud & Brousseau, Limoges, France",(French),(),Before 1947,Glazed porcelain,Design,Architecture & Design,3/17/48,5.7,
Revolving Armchair,Charlotte Perriand,(French),(Female),1928,Chrome-plated tubular steel and leather,Design,Architecture & Design,12/4/58,75.5652,55.8801
Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Hand-painted sculptured glass,Design,Architecture & Design,12/4/58,63.5001,
Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Hand-painted sculptured glass,Design,Architecture & Design,12/4/58,54.6101,
Le Parthènon Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Painted glass,Design,Architecture & Design,12/4/58,38.7351,
Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Painted glass,Design,Architecture & Design,12/4/58,46.3,
Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Painted glass,Design,Architecture & Design,12/4/58,20.955,8.89
Miniature Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Painted glass,Design,Architecture & Design,12/4/58,15.24,
Miniature Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Hand-painted sculptured glass,Design,Architecture & Design,12/4/58,15.24,
"Entrance Gate to Paris Subway (Métropolitain) Station, Paris, France",Hector Guimard,(French),(Male),c. 1900,"Painted cast iron, glazed lava, and glass",Architecture,Architecture & Design,12/4/58,424.1808,543.5611
Less Table,Jean Nouvel,(French),(Male),1994,"Pultruded and welded steel
",Design,Architecture & Design,5/9/95,71.7,211.4
Floor Lamp,Michel Bufet,(French),(Male),c. 1953,Painted steel,Design,Architecture & Design,4/22/98,182.2454,
"""Direction"" Office Armchair no. 352",Jean Prouvé,(French),(Male),1951,"Enameled steel, leather, foam, and wood",Design,Architecture & Design,4/22/98,80,64
Parasol Handle,Hector Guimard,(French),(Male),1909,"Gold plated metal, ivory, and gold",Design,Architecture & Design,2/27/78,23.5,2.6
Champagne Glasses,"Compagnie des Cristalleries de Baccarat, Paris, France",(French),(),1880,Hand-blown clear crystal,Design,Architecture & Design,10/9/57,21.6,
Letter Opener,Hector Guimard,(French),(Male),c. 1907,Rosewood,Design,Architecture & Design,6/8/50,,2.1
Vase,Vallauris,(French),(),c. 1951,Glazed pottery,Design,Architecture & Design,4/7/53,15.875,
Sugar Bowl,Robert Picault,(French),(Male),c.1940,Glazed pottery,Design,Architecture & Design,4/7/53,3.8,
"""Bap"" Motorcyclist's Back Protector",Marc Sadler,(French),(Male),1992,"Polyethylene, low-memory foam, polyurethane, and polypropylene",Design,Architecture & Design,4/22/98,61,42
Folding Service Cart,Louis L. Lepoix,(French),(Male),1983,Plastic-coated metal,Design,Architecture & Design,10/30/84,72,68.8976
Vase,Jacques Sicard,(French),(Male),1902-07,Glazed ceramic,Design,Architecture & Design,11/16/60,11.4,
Desk Lamp,Édouard-Wilfred Buquet,(French),(Male),1927,"Nickel-plated brass, aluminum, and lacquered wood",Design,Architecture & Design,6/1/77,91.5,
Desk,Hector Guimard,(French),(Male),c. 1899,Olive wood with ash panels,Design,Architecture & Design,5/26/49,73,256.5
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,15.24,
Armchair,Hector Guimard,(French),(Male),c. 1899-1900,Walnut and leather,Design,Architecture & Design,5/26/49,82.3,78.1
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,16.1925,
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,15.875,
Side Table,Hector Guimard,(French),(Male),1904–1907,Pear wood,Design,Architecture & Design,5/26/49,75.8827,52.1
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,15.2,
Umbrella Stand,Hector Guimard,(French),(Male),c. 1904-07,Painted cast iron,Design,Architecture & Design,5/26/49,83.8,34.3
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,15.875,
Double Picture Frame,Hector Guimard,(French),(Male),c. 1909,Gilded bronze,Design,Architecture & Design,5/26/49,24.5,36.8301
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,15.875,
Picture Frame,Hector Guimard,(French),(Male),c. 1900-1904,Gilded bronze,Design,Architecture & Design,5/26/49,54,27
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,15.2,
Picture Frame,Hector Guimard,(French),(Male),c. 1912,Gilded wood,Design,Architecture & Design,5/26/49,82.5,102.2352
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,16.8,
Picture Frame,Hector Guimard,(French),(Male),Unknown,Wood,Design,Architecture & Design,5/26/49,64.8,84.8
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,15.875,
Door Handle,Hector Guimard,(French),(Male),c. 1909-12,Bronze,Design,Architecture & Design,5/26/49,34.3,4.1
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,15.875,
Door Handle,Hector Guimard,(French),(Male),c. 1909-12,Gilded bronze,Design,Architecture & Design,5/26/49,14,4.8
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,15.2,
Door Handle,Hector Guimard,(French),(Male),c. 1909-12,Gilded bronze,Design,Architecture & Design,5/26/49,10.2,3.8
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,13.3,
Door Handle,Hector Guimard,(French),(Male),c. 1909-12,Gilded bronze,Design,Architecture & Design,5/26/49,25.4,6.3
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Painted glass,Design,Architecture & Design,6/1/77,16.8275,
Bud Vase,"Daum Frères, Nancy, France",(French),(),c. 1910,Blown painted glass,Design,Architecture & Design,6/1/77,16.2,
Tray,Hector Guimard,(French),(Male),1907,Rosewood,Design,Architecture & Design,5/26/49,50.2,25.1
Bud Vase,Emile Gallé,(French),(Male),c. 1900,Glass,Design,Architecture & Design,6/1/77,22.9,
Hatpin,Hector Guimard,(French),(Male),c. 1910,Bronze,Design,Architecture & Design,5/26/49,2.5,3.175
Necklace,Henri Tronquoy,(French),(Male),1966,Nickel,Design,Architecture & Design,4/11/67,,
Cocktail Goblets,"Desny, Paris",(French),(),c. 1930,Silver,Design,Architecture & Design,11/8/61,12.065,
Djinn Chaise Longue,Olivier Mourgue,(French),(Male),1964-65,"Tubular steel frame, foam padding, and nylon jersey upholstery",Design,Architecture & Design,5/10/66,64.8,
Hand Mirror,Olivier,(French),(),c. 1900,Silver,Design,Architecture & Design,12/5/72,,19.685
Fireplace and Surround,Hector Guimard,(French),(Male),c. 1907,Cast iron fireplace and marble surrounds,Design,Architecture & Design,11/5/70,,
Fil de Crin (Horsehair yarn),Pierrette Bloch,(French),(Female),1985,Horsehair,Design,Architecture & Design,11/22/88,,
Fil de Crin (Horsehair yarn),Pierrette Bloch,(French),(Female),1986,Horsehair,Design,Architecture & Design,11/22/88,,
Fil de Crin (Horsehair yarn),Pierrette Bloch,(French),(Female),1986,Horsehair,Design,Architecture & Design,11/22/88,,
Byron Glasses,"Compagnie des Cristalleries de Baccarat, Paris, France",(French),(),c. 1950,Crystal,Design,Architecture & Design,5/24/51,15.9,
Brummel Glasses,"Compagnie des Cristalleries de Baccarat, Paris, France",(French),(),c. 1950,Crystal,Design,Architecture & Design,5/24/51,15.9,
Pavilion Wine Taster Mfr. No. 15880,"Compagnie des Cristalleries de Baccarat, Paris, France",(French),(),c. 1950,Crystal,Design,Architecture & Design,5/24/51,17.2,
Magnum Champagne Glass Mfr. No. 15881,"Compagnie des Cristalleries de Baccarat, Paris, France",(French),(),c. 1950,Crystal,Design,Architecture & Design,5/24/51,15.2,
Vase,Emile Gallé,(French),(Male),c. 1900,Glass,Design,Architecture & Design,10/25/56,42.9,28.5751
Cardboard Lamp,interware SARL,(French),(Male),1996,"Cardboard, metal, and plastic",Design,Architecture & Design,10/17/97,35.5601,
Brooch,Hector Guimard,(French),(Male),c. 1909,"Gold, agate, pearls, and moonstones",Design,Architecture & Design,11/5/70,4.1275,9.525
Letter Seal,Hector Guimard,(French),(Male),c. 1908,Gilded bronze,Design,Architecture & Design,11/5/70,8.6,
Floor Lamp,Serge Mouille,(French),(Male),c. 1950,Painted brass and steel,Design,Architecture & Design,10/17/97,163,94
Ring,Hector Guimard,(French),(Male),c. 1907,"Gold, pearl, and diamond",Design,Architecture & Design,11/5/70,1.6,
Ring,Hector Guimard,(French),(Male),c. 1909,"Gold, replacement gemstone",Design,Architecture & Design,11/5/70,,
Wallet Corner,Hector Guimard,(French),(Male),c. 1910,Gold,Design,Architecture & Design,11/5/70,1.5875,2.6988
Cup and Saucer,"André Giraud & Brousseau, Limoges, France",(French),(),Before 1953,Glazed porcelain,Design,Architecture & Design,1/12/54,5.2,
Collapsible Salad Basket,Unidentified Designer,(French),(),c.1953,Tinned steel,Design,Architecture & Design,4/1/53,48.2601,
Necklace,Henri Tronquoy,(French),(Male),1966,Brass,Design,Architecture & Design,6/6/67,,
Necklace,Henri Tronquoy,(French),(Male),1966,Brass,Design,Architecture & Design,6/6/67,,
Desk,René Herbst,(French),(Male),c. 1925,"Steel, painted steel, and glass",Design,Architecture & Design,9/20/95,81.2802,200.6604
Taster Glass,Monsieur Thiebault,(French),(Male),1895,Crystal,Design,Architecture & Design,11/4/53,16.2,
Measuring Spoon and Scale (Ladle and Stand),Unidentified Designer,(French),(),c.1955,Cast aluminum,Design,Architecture & Design,10/25/56,8.2,33.0201
Cup and Saucer,"André Giraud & Brousseau, Limoges, France",(French),(),Before 1953,Glazed porcelain,Design,Architecture & Design,1/12/54,7.3,
Vase,"Daum Frères, Nancy, France",(French),(),c. 1900,Painted glass,Design,Architecture & Design,12/30/59,59,
Settee,Hector Guimard,(French),(Male),1897,Carved mahogany and tooled leather,Design,Architecture & Design,10/6/64,92.7102,171.4
Chair (model 300),Pierre Paulin,(French),(Male),1965-66,Fiberglass-reinforced polyester and stretch fabric-covered latex foam,Design,Architecture & Design,10/7/68,58.4201,81.2802
Tongue Chair (model 577),Pierre Paulin,(French),(Male),1967-1968,"Wool knit fabric, latex foam on tubular steel frame",Design,Architecture & Design,10/7/68,64.7701,
Tykho Radio,Marc Berthier,(French),(Male),1997,Synthetic rubber and other materials,Design,Architecture & Design,12/11/00,13.97,13.97
Hudson Chair,Philippe Starck,(French),(Male),2000,High-polished aluminum,Design,Architecture & Design,12/11/00,82.5,40
Tableaux et Architecture - Exhibition at Kunsthaus Zürich,Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),1938,Lithograph,Design,Architecture & Design,3/17/48,,
"Exposition, Galerie Maeght",Georges Braque,(French),(Male),1959,Lithograph in six colors,Design,Architecture & Design,4/6/60,72.39014478,50.16510033
Stracone Zludzenia,Roman Cieslewicz,(French),(Male),1958,Photolithograph,Design,Architecture & Design,4/6/60,59,84.4
"Sonia Delaunay. Städt Kunsthaus Bielefeld, 14.9.-26.10.1958",Sonia Delaunay-Terk,(French),(Female),1958,Silkscreen,Design,Architecture & Design,4/6/60,41.5,60.3
Milton Dental Cream,A. M. Cassandre,(French),(Male),1934,Lithograph,Design,Architecture & Design,5/20/36,301.9,402.6
Ecosse,A. M. Cassandre,(French),(Male),1934,Lithograph,Design,Architecture & Design,6/25/36,302.2606045,222.2504445
The Ultimate Goal,Jean Carlu,(French),(Male),1949,Gouache on paperboard,Design,Architecture & Design,2/19/58,116.8,76.2
Gham-Bo,Paul Colin,(French),(Male),c. 1930,Lithograph,Design,Architecture & Design,1/17/90,58.1,37.8
Le Trou,Jouineau Bourduge,(French),(),1959,Photolithograph,Design,Architecture & Design,2/7/61,115.5702,156.8453
Tabarin,Paul Colin,(French),(Male),1928,Lithograph,Design,Architecture & Design,3/13/47,159.1,118.1102362
Serge Lifar,Paul Colin,(French),(Male),1935,Lithograph,Design,Architecture & Design,3/13/47,155.0990602,114.9
America's Answer - Production,Jean Carlu,(French),(Male),1942,Offset lithograph,Design,Architecture & Design,5/2/44,76.2,101.6
Ballet poster,André Masson,(French),(Male),1933,Lithograph,Design,Architecture & Design,3/13/47,120,79.7
Maison Prunier,A. M. Cassandre,(French),(Male),1934,Lithograph,Design,Architecture & Design,2/7/61,147.3,96.5
Restaurez-Vous au Wagon-Bar,A. M. Cassandre,(French),(Male),1932,Lithograph,Design,Architecture & Design,2/7/61,100.0127,61.91262383
Give 'em Both Barrels,Jean Carlu,(French),(Male),1941,Offset lithograph,Design,Architecture & Design,3/7/68,76.1,101.5
America's Answer! Production,Jean Carlu,(French),(Male),1942,Lithograph,Design,Architecture & Design,3/7/68,76.1,101.5
New York via Le Havre et Southampton (New York via Le Havre and Southampton) (Poster for La Cie. Gle. Transatlantique [French Line]),A. M. Cassandre,(French),(Male),1935,Lithograph,Design,Architecture & Design,3/7/68,99.7,61.9
Palais de Glace Champs Elysées,Jules Chéret,(French),(Male),1893,Lithograph,Design,Architecture & Design,3/7/68,124.1,88.3
Les Girard,Jules Chéret,(French),(Male),1879,Lithograph,Design,Architecture & Design,3/7/68,57.4,43.1
Operacja Konieczna,Roman Cieslewicz,(French),(Male),1956,Offset lithograph,Design,Architecture & Design,3/7/68,61,86.4
"J. Dubutfet, Ustensiles, Demeures Escaliers, Galerie Jeanne Bucher, Juin, Juillet, 1967",Jean Dubuffet,(French),(Male),1967,Offset lithograph,Design,Architecture & Design,3/7/68,,
"On les aura!, 2e. Emprunt de La Défense Nationale",Jules-Abel Faivre,(French),(Male),1916,Lithograph,Design,Architecture & Design,3/7/68,113,79.3
"Comedie Parisienne, La Loïe Fuller Dans Sa Création Nouvelle, Salomé",Georges de Feure,(French),(Male),1900,Lithograph,Design,Architecture & Design,3/7/68,129.5,92.7
"Strawinski Persefona (Poster for a Warsaw production of the Igor Stravinsky [1882-1971] opera ""Persephone"" [1934])",Roman Cieslewicz,(French),(Male),1961,Offset lithograph,Design,Architecture & Design,2/13/63,67.7,96.5
Mieszkanie #8,Roman Cieslewicz,(French),(Male),1961,Offset lithograph,Design,Architecture & Design,3/13/63,58.4,82.9
"Exposition des Pastels de E. Mürer., Nov. 23 - Dec. 13",A. Andreas,(French),(),c. 1895,Lithograph,Design,Architecture & Design,3/19/56,61.9,76.8
Poster for an exhibition of works by J. Baric at Salon des Cent,Jules-Jean-Antoine Baric,(French),(Male),1897-98,Lithograph,Design,Architecture & Design,3/19/56,61,40
"Salon des Cent, 17e Exposition",Paul Berthon,(French),(Male),1897,Lithograph,Design,Architecture & Design,3/19/56,47.5,36
On Four Walls,Georges Braque,(French),(Male),1897-1952,poster,Design,Architecture & Design,5/20/52,72.39014478,41.27508255
"Salon de la Plume - Exposition Henri Bouillon, May 3-30, 1897",Bouillon,(French),(),1897,Poster,Design,Architecture & Design,3/19/56,,
"Galerie Maeght, G. Braque",Georges Braque,(French),(Male),1950,Lithograph in seven colors,Design,Architecture & Design,5/20/52,51.6,73.6
"Salon des Cent, 31, rue Bonaparte, Hall de la Revue, La Plume, Mars-Avril 1899, Exposition d'Ensemble",Firmin Bouisset,(French),(Male),1899,Lithograph,Design,Architecture & Design,3/19/56,61,44.5
