,StateAbbr,CityName,Annual Checkup,Arthritis,Binge Drinking,COPD,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
0,AK,Anchorage,52.40350877192982,19.601754385964913,20.208771929824564,4.53859649122807,5.464912280701754,71.69824561403509,2.3596491228070176,61.33684210526315,38.973684210526315,33.10701754385965,4.249122807017543,9.040350877192981,17.891228070175437,65.0298245614035,7.41578947368421,12.792982456140352,28.240350877192984,30.95263157894737,71.07719298245614,11.52982456140351,34.26315789473684,78.85964912280701,10.822807017543859,20.90877192982456,31.268421052631577,2.307017543859649,61.27719298245614,13.161403508771931
1,AL,Birmingham,74.82065217391305,29.544565217391302,11.909782608695652,9.017391304347827,5.865217391304348,80.78695652173913,3.9206521739130435,65.05978260869566,34.114285714285714,27.416304347826088,7.136956521739131,12.02282608695652,21.1,54.51413043478261,15.797826086956523,19.519565217391303,44.2054347826087,34.21630434782609,83.17065217391304,16.43804347826087,40.32934782608696,84.96630434782608,16.582608695652173,36.74239130434783,40.8945652173913,4.941304347826088,77.36521739130436,21.41086956521739
2,AL,Hoover,71.20666666666666,25.52,15.49,5.633333333333334,6.72,83.74333333333334,2.433333333333333,72.45333333333333,45.38620689655173,38.49310344827586,4.92,9.216666666666667,13.496666666666666,74.65333333333334,8.38,11.323333333333332,32.70666666666667,32.95,80.85333333333332,11.57,29.16,85.52,10.629999999999999,24.326666666666664,33.32333333333334,2.356666666666667,73.5,8.651724137931035
3,AL,Huntsville,71.50166666666668,29.51833333333333,13.165,8.163333333333334,6.845,80.78999999999999,3.26,70.59666666666666,43.93666666666666,38.115,6.821666666666667,10.926666666666668,18.601666666666667,60.983333333333334,12.208333333333334,16.118333333333332,38.35666666666667,33.626666666666665,80.235,14.961666666666668,35.89666666666667,82.79833333333333,14.641666666666667,30.871666666666666,38.21666666666667,3.705,74.88666666666667,15.925
4,AL,Mobile,75.01818181818182,30.684415584415582,13.237662337662337,9.251948051948052,6.387012987012987,80.05454545454545,3.866233766233766,63.82763157894736,29.956578947368417,29.63157894736842,7.87922077922078,11.82987012987013,21.383116883116884,56.85064935064935,15.053246753246752,18.93896103896104,43.34415584415584,35.18571428571429,82.0171052631579,16.787012987012986,38.80389610389611,85.27012987012988,16.635064935064936,37.114285714285714,40.01168831168831,4.709090909090909,77.66493506493507,21.70394736842105
5,AL,Montgomery,74.88709677419355,28.379032258064516,13.233870967741936,8.922580645161291,5.896774193548388,79.81451612903226,3.640322580645161,63.483870967741936,31.70327868852459,30.287096774193547,7.037096774193548,11.62741935483871,22.01451612903226,58.98548387096774,14.745161290322581,19.69677419354839,41.75806451612903,34.317741935483866,82.30806451612904,16.380645161290325,39.20483870967742,85.25161290322582,16.54516129032258,35.63709677419355,38.59516129032258,4.388709677419355,75.20161290322581,19.75483870967742
6,AL,Tuscaloosa,70.50277777777778,26.216666666666665,14.902777777777779,7.811111111111111,5.177777777777778,75.95555555555556,3.0166666666666666,60.66111111111112,34.81142857142857,31.631428571428568,5.866666666666666,11.358333333333333,19.833333333333332,59.47222222222222,11.266666666666667,17.24722222222222,36.794444444444444,32.34444444444445,82.18333333333334,17.333333333333332,37.37222222222223,84.85833333333333,14.205555555555556,33.138888888888886,39.68611111111111,3.427777777777778,70.05833333333334,19.5
7,AR,Fayetteville,65.32222222222222,19.005555555555556,18.63888888888889,5.511111111111111,4.866666666666666,72.51111111111112,2.3722222222222222,58.32777777777778,35.88333333333333,31.488888888888887,4.472222222222222,9.100000000000001,18.688888888888886,61.022222222222226,6.861111111111111,10.68888888888889,28.311111111111114,27.922222222222224,74.6,14.850000000000001,28.355555555555558,,10.766666666666667,25.944444444444443,34.144444444444446,2.25,64.38888888888889,16.272222222222222
8,AR,Fort Smith,71.19130434782609,26.37391304347826,14.134782608695653,9.034782608695652,6.460869565217391,75.61304347826086,3.5,58.99565217391305,26.604347826086954,26.13478260869565,7.595652173913043,9.969565217391304,25.017391304347825,54.88695652173914,12.308695652173913,15.952173913043477,37.05652173913043,33.96086956521739,76.31304347826087,17.004347826086956,33.41304347826087,,16.269565217391303,37.38695652173913,35.12173913043478,3.952173913043478,74.48260869565217,24.995652173913044
9,AR,Jonesboro,71.76875,26.61875,15.0875,7.6937500000000005,6.325,75.9625,3.06875,60.8375,40.425,26.0875,6.53125,9.93125,21.7375,57.425,9.9875,12.35625,34.43125,31.46875,74.58125,15.83125,33.95,,14.2,33.84375,32.50625,3.325,72.80625,19.81875
10,AR,Little Rock,72.61509433962264,23.58679245283019,15.179245283018869,6.79811320754717,5.99811320754717,79.78679245283018,3.2962264150943392,69.01320754716981,40.25660377358491,30.296226415094342,6.060377358490566,9.950943396226414,20.471698113207548,64.2188679245283,11.667924528301887,13.049056603773586,38.883018867924534,32.98490566037736,78.32075471698113,13.852830188679246,35.20943396226415,,13.230188679245284,32.3811320754717,37.30754716981132,3.709433962264151,75.45283018867924,17.528301886792452
11,AR,Springdale,66.80000000000001,22.36111111111111,16.48888888888889,7.122222222222222,5.444444444444445,74.32777777777778,2.8944444444444444,55.01111111111111,33.65,28.672222222222224,5.905555555555555,9.25,21.733333333333334,54.12222222222223,9.422222222222222,17.700000000000003,32.144444444444446,31.616666666666667,72.51111111111112,15.627777777777778,31.96111111111111,,13.872222222222222,31.91111111111111,35.52222222222222,2.9388888888888887,68.82777777777778,21.283333333333335
12,AZ,Avondale,64.20869565217392,17.330434782608698,18.017391304347825,5.147826086956522,4.443478260869566,77.23478260869565,3.095652173913044,57.5304347826087,30.839130434782607,28.5,4.182608695652174,10.417391304347825,17.830434782608698,59.97391304347826,9.130434782608695,21.065217391304348,24.695652173913043,28.02608695652174,79.48695652173913,14.156521739130437,31.082608695652173,,12.434782608695652,26.969565217391303,38.04347826086956,2.356521739130435,66.2695652173913,13.743478260869566
13,AZ,Chandler,66.27540983606558,18.918032786885245,18.562295081967214,4.7081967213114755,5.832786885245902,82.1360655737705,2.7540983606557377,65.57213114754099,37.614754098360656,34.90327868852459,4.024590163934426,9.798360655737707,14.211475409836066,71.7327868852459,7.39016393442623,11.662295081967212,24.262295081967213,29.095081967213115,80.17868852459016,11.304918032786885,26.10327868852459,,10.042622950819673,20.652459016393443,34.75573770491803,2.136065573770492,69.3983606557377,8.71967213114754
14,AZ,Gilbert,64.84255319148936,17.342553191489362,20.429787234042553,4.268085106382979,5.253191489361702,81.42765957446808,2.4127659574468088,66.40425531914893,38.770212765957446,36.28936170212766,3.35531914893617,9.904255319148936,14.565957446808511,73.48510638297873,6.278723404255319,10.425531914893616,21.94255319148936,27.257446808510636,80.4191489361702,11.429787234042553,25.717021276595744,,9.26595744680851,19.26595744680851,34.785106382978725,1.8063829787234045,66.53617021276595,7.6
15,AZ,Glendale,65.52000000000001,20.668333333333333,17.09,6.38,5.6016666666666675,78.10166666666667,3.4383333333333335,58.345,32.08,29.075,5.16,10.721666666666666,18.546666666666667,60.14666666666667,9.678333333333335,18.503333333333334,27.44,30.895,79.03999999999999,14.433333333333334,30.73166666666667,,13.433333333333334,27.221666666666668,37.318333333333335,2.8266666666666667,70.60333333333332,15.395000000000001
16,AZ,Mesa,67.07317073170732,23.275609756097563,16.95691056910569,6.849593495934959,7.028455284552845,80.03252032520325,3.6121951219512196,62.2260162601626,34.61788617886179,31.166666666666668,6.020325203252033,10.560162601626017,17.247967479674795,64.12845528455284,9.517886178861788,15.230081300813008,29.23252032520325,32.457723577235775,78.71788617886179,13.34308943089431,29.1260162601626,,13.015447154471545,25.491056910569107,35.41138211382114,3.0967479674796747,72.66178861788617,13.567479674796747
17,AZ,Peoria,68.29555555555555,23.52444444444444,17.204444444444444,6.226666666666667,7.471111111111111,82.76444444444445,3.413333333333333,65.25111111111111,37.01333333333333,33.32272727272727,5.642222222222222,10.18,15.208888888888888,69.67777777777778,8.891111111111112,12.171111111111113,28.80888888888889,32.48,79.12444444444444,11.884444444444444,27.19111111111111,,11.806666666666665,23.064444444444447,34.29333333333334,2.8866666666666667,73.35333333333334,10.64
18,AZ,Phoenix,64.99888268156424,19.84860335195531,17.108659217877094,6.080167597765363,5.388547486033519,77.7963687150838,3.423463687150838,57.30837988826816,31.639385474860333,28.575418994413408,5.0229050279329615,10.63100558659218,18.482122905027936,58.8622905027933,9.65195530726257,19.911731843575417,27.00558659217877,30.43491620111732,79.36648044692738,14.455865921787709,31.29078212290503,,13.427374301675977,27.405865921787708,37.4072625698324,2.766759776536313,69.89469273743016,16.108659217877094
19,AZ,Scottsdale,70.27142857142857,24.457142857142856,16.487301587301587,5.433333333333334,8.69047619047619,85.85079365079366,3.3285714285714283,70.69047619047619,40.992063492063494,37.217460317460315,5.595238095238095,9.55873015873016,11.60952380952381,76.14920634920634,8.293650793650794,8.323809523809523,29.357142857142858,34.08412698412699,80.35079365079366,9.776190476190475,24.784126984126985,,10.163492063492063,19.030158730158732,31.20952380952381,2.6952380952380954,76.97936507936508,7.455555555555556
20,AZ,Surprise,69.23,24.863333333333333,16.42,6.506666666666666,8.063333333333334,83.17666666666668,3.533333333333333,67.34333333333333,36.85,34.14333333333333,6.066666666666666,10.2,15.573333333333332,69.05666666666666,9.446666666666665,12.343333333333334,30.62,33.61666666666667,79.12333333333332,11.763333333333332,27.85,,11.916666666666666,23.353333333333335,34.193333333333335,3.006666666666667,73.51,10.45
21,AZ,Tempe,63.951219512195124,16.75609756097561,19.495121951219513,4.729268292682927,5.012195121951219,75.31463414634146,2.721951219512195,62.24390243902439,35.21,31.607317073170734,3.8731707317073174,10.329268292682928,15.356097560975611,66.49268292682927,6.780487804878049,13.100000000000001,22.45609756097561,26.44390243902439,80.12439024390244,13.334146341463416,26.170731707317074,,10.136585365853659,21.51219512195122,34.84146341463415,2.048780487804878,64.5390243902439,11.126829268292683
